Unnamed: 0,Unnamed: 0.1,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,THERMAL_EFF
0,01-01-2021 00:00,0.0,0.0,0.0,0.0,8769.855766,12538.99986,1.744153315,4.688456274,8846.607096,12718.47421,1.747217517,4.696693151,0.0,0.0,0.0,0.0,
1,01-01-2021 01:00,0.0,0.0,0.0,0.0,8770.607292,12523.85161,1.742846142,4.684942463,8845.692309,12698.37271,1.745565993,4.692253693,0.0,0.0,0.0,0.0,
2,01-01-2021 02:00,0.0,0.0,0.0,0.0,8764.811869,12512.59651,1.74015966,4.677720935,8848.051958,12708.60418,1.744316052,4.688893727,0.0,0.0,0.0,0.0,
3,01-01-2021 03:00,0.0,0.0,0.0,0.0,8767.824839,12522.37784,1.739969689,4.677210274,8858.87613,12738.78623,1.745488629,4.69204573,0.0,0.0,0.0,0.0,
4,01-01-2021 04:00,0.0,0.0,0.0,0.0,8766.691226,12545.98807,1.744495188,4.689375263,8884.889533,12831.25759,1.754604001,4.716548751,0.0,0.0,0.0,0.0,
5,01-01-2021 05:00,0.0,0.0,0.0,0.0,8766.389636,12524.42614,1.74166486,4.68176706,8902.937327,12855.8809,1.754912313,4.717377522,0.0,0.0,0.0,0.0,
6,01-01-2021 06:00,0.0,0.0,0.0,0.0,8768.261474,12544.81503,1.741159078,4.68040747,8887.496662,12833.40413,1.751425178,4.708003761,0.0,0.0,0.0,0.0,
7,01-01-2021 07:00,0.0,0.0,0.0,0.0,8771.064239,12534.08014,1.741548458,4.681454163,8895.346007,12834.50827,1.752719044,4.711481799,0.0,0.0,0.0,0.0,
8,01-01-2021 08:00,0.0,0.0,0.0,0.0,8772.316717,12554.69852,1.740854704,4.679589283,8899.120233,12863.64992,1.752630037,4.711242539,0.0,0.0,0.0,0.0,
9,01-01-2021 09:00,0.0,0.0,0.0,0.0,8774.564068,12548.07488,1.741494718,4.681309702,8894.66871,12839.00255,1.752062567,4.709717123,0.0,0.0,0.0,0.0,
10,01-01-2021 10:00,0.0,0.0,0.0,0.0,8771.324117,12558.8796,1.740362154,4.67826526,8903.153056,12881.40805,1.753036043,4.712333925,0.0,0.0,0.0,0.0,
11,01-01-2021 11:00,0.0,0.0,0.0,0.0,8771.871348,12554.41747,1.741025521,4.680048454,8912.067491,12898.06289,1.755106199,4.717898708,0.0,0.0,0.0,0.0,
12,01-01-2021 12:00,0.0,0.0,0.0,0.0,8777.36492,12598.47825,1.746732362,4.695389006,8911.503161,12927.41012,1.759746789,4.730373072,0.0,0.0,0.0,0.0,
13,01-01-2021 13:00,0.0,0.0,0.0,0.0,8778.308473,12570.79675,1.741356968,4.680939418,8895.748035,12857.05288,1.751591351,4.708450449,0.0,0.0,0.0,0.0,
14,01-01-2021 14:00,0.0,0.0,0.0,0.0,8779.95067,12581.46433,1.741528437,4.681400343,8904.055635,12884.88381,1.752781207,4.711648898,0.0,0.0,0.0,0.0,
15,01-01-2021 15:00,0.0,0.0,0.0,0.0,8783.203236,12589.83887,1.743244579,4.686013502,8908.433963,12895.63058,1.754712422,4.716840195,0.0,0.0,0.0,0.0,
