Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,CMP_SPEED_6,POWER_6,FUEL_FLOW_6,CO2_6,THERMAL_EFF,DATE_TIME
0,0.0,0.0,0.0,0.0,9958.158086,14458.75264,1.678818357,4.257039455,9720.390921,13804.97844,1.630922124,4.135587274,0.0,0.0,0.0,0.0,6995.143561,7722.579939,1.230113453,3.119242461,0.0,0.0,0.0,0.0,,01-01-2021 00:00
1,0.0,0.0,0.0,0.0,9950.797713,14485.16588,1.68356395,4.269073023,9706.847885,13814.75517,1.634630887,4.144991715,0.0,0.0,0.0,0.0,6994.268659,7743.606586,1.234134747,3.129439399,0.0,0.0,0.0,0.0,,01-01-2021 01:00
2,0.0,0.0,0.0,0.0,9945.780947,14489.78144,1.683067715,4.267814704,9690.009805,13790.37581,1.632346687,4.139199587,0.0,0.0,0.0,0.0,6979.56629,7723.424356,1.231925406,3.123837094,0.0,0.0,0.0,0.0,,01-01-2021 02:00
3,0.0,0.0,0.0,0.0,9940.916977,14471.85804,1.681881529,4.26480685,9694.88731,13796.21784,1.632523091,4.1396469,0.0,0.0,0.0,0.0,6976.739806,7714.169628,1.231062068,3.121647898,10000.0,14488.87621,1.672329077,4.240584358,40.29076145428762,01-01-2021 03:00
4,0.0,0.0,0.0,0.0,9931.44074,14432.2805,1.678958692,4.257395307,9703.292989,13800.58292,1.632179986,4.138776878,0.0,0.0,0.0,0.0,6976.978436,7705.864956,1.229983877,3.118913891,9984.141819,14434.93175,1.66868181,4.231335853,40.22848869217106,01-01-2021 04:00
5,0.0,0.0,0.0,0.0,9932.833708,14412.33772,1.67777674,4.25439819,9698.789942,13767.00534,1.630200259,4.133756813,0.0,0.0,0.0,0.0,6981.768089,7701.435805,1.229520592,3.117739121,9986.573426,14417.95323,1.667669418,4.228768695,40.20556429862939,01-01-2021 05:00
6,0.0,0.0,0.0,0.0,9934.925347,14472.10099,1.681997237,4.265100255,9686.098443,13789.1774,1.63211547,4.138613282,0.0,0.0,0.0,0.0,6970.302088,7709.274347,1.230663552,3.120637366,9986.28533,14469.66666,1.671285432,4.23793795,40.262469881772006,01-01-2021 06:00
7,0.0,0.0,0.0,0.0,9926.852874,14408.80742,1.676527085,4.251229396,9691.870052,13761.34586,1.628735455,4.130042458,0.0,0.0,0.0,0.0,6964.453933,7673.252159,1.226492523,3.110060739,9980.441085,14412.60873,1.666276193,4.225235844,40.22426540502593,01-01-2021 07:00
8,0.0,0.0,0.0,0.0,9930.145391,14446.12162,1.678859419,4.257143577,9699.108268,13807.03136,1.631599425,4.137304728,0.0,0.0,0.0,0.0,6982.544845,7727.799871,1.230899169,3.121234829,9995.12505,14476.29016,1.670125043,4.234995509,40.30888689002299,01-01-2021 08:00
9,0.0,0.0,0.0,0.0,9934.431128,14464.22686,1.682230312,4.265691271,9700.186458,13816.25663,1.634384511,4.144366969,0.0,0.0,0.0,0.0,6991.318902,7747.914751,1.23415382,3.129487763,9996.919841,14488.89321,1.673121603,4.242593992,40.27172373535915,01-01-2021 09:00
10,0.0,0.0,0.0,0.0,9926.598216,14452.67922,1.680578609,4.261502989,9698.239478,13819.43412,1.633689471,4.142604533,0.0,0.0,0.0,0.0,6968.659108,7706.494919,1.230182482,3.119417502,9994.245059,14489.44642,1.672177388,4.240199714,40.29600215627299,01-01-2021 10:00
11,0.0,0.0,0.0,0.0,9931.434919,14431.68607,1.678943085,4.257355731,9691.503977,13772.08324,1.630563396,4.134677633,0.0,0.0,0.0,0.0,6958.287579,7666.523988,1.226733482,3.110671748,9980.334683,14424.00787,1.667998083,4.229602101,40.21452262965416,01-01-2021 11:00
12,0.0,0.0,0.0,0.0,9930.252912,14452.70457,1.682145777,4.265476913,9691.656257,13795.49392,1.633900847,4.143140525,0.0,0.0,0.0,0.0,6949.300708,7660.364128,1.227780248,3.11332607,9990.18834,14472.23891,1.672732899,4.241608343,40.23478073641827,01-01-2021 12:00
13,0.0,0.0,0.0,0.0,9924.147553,14416.99513,1.676440187,4.251009045,9695.062315,13783.62106,1.629603716,4.132244137,0.0,0.0,0.0,0.0,6948.866759,7650.618374,1.224289707,3.10447498,10000.0,14473.09408,1.669112508,4.232427989,40.324434693297064,01-01-2021 13:00
14,0.0,0.0,0.0,0.0,9922.189024,14399.13234,1.676237544,4.250495195,9676.550432,13726.57816,1.627071242,4.125822453,0.0,0.0,0.0,0.0,6928.899824,7600.863409,1.220946091,3.095996456,10000.0,14460.87075,1.669248183,4.232772025,40.28710370761355,01-01-2021 14:00
15,0.0,0.0,0.0,0.0,9930.491878,14458.84805,1.680792422,4.262045161,9668.208247,13744.62388,1.629139177,4.131066192,0.0,0.0,0.0,0.0,6909.946288,7583.965062,1.220415591,3.094651248,9996.963831,14492.48195,1.672131678,4.240083805,40.30554592057667,01-01-2021 15:00
16,0.0,0.0,0.0,0.0,9934.065343,14451.19958,1.678924604,4.25730887,9675.411872,13746.83939,1.627916889,4.12796679,0.0,0.0,0.0,0.0,6911.293012,7578.73131,1.218976488,3.091002063,9988.689397,14456.1179,1.668595299,4.231116484,40.28962081862056,01-01-2021 16:00
17,0.0,0.0,0.0,0.0,9935.353787,14443.40347,1.67848852,4.256203076,9681.120141,13749.08599,1.628012589,4.128209461,0.0,0.0,0.0,0.0,6917.198146,7584.328947,1.219385948,3.092040344,9995.591538,14461.82934,1.668921409,4.231943412,40.29766299907805,01-01-2021 17:00
18,0.0,0.0,0.0,0.0,9942.848315,14457.86787,1.679215857,4.258047409,9684.920043,13754.5037,1.628230204,4.128761275,0.0,0.0,0.0,0.0,6901.915523,7551.020777,1.216693563,3.085213169,10000.0,14468.9078,1.669227202,4.232718823,40.310001100310735,01-01-2021 18:00
