Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,CMP_SPEED_6,POWER_6,FUEL_FLOW_6,CO2_6,CMP_SPEED_7,POWER_7,FUEL_FLOW_7,CO2_7,THERMAL_EFF,DATE_TIME
0,0.0,0.0,0.0,0.0,4926.083533,3397.292307,0.845838353,2.285563306,5741.295624,4696.544743,0.987892333,2.66941131,5089.819917,3624.268084,0.87736015,2.370739229,0.0,0.0,0.0,0.0,4573.814859,2868.653957,0.783541634,2.117229611,0.0,0.0,0.0,0.0,,01-01-2021 00:00
1,0.0,0.0,0.0,0.0,4931.416852,3411.219589,0.846398209,2.28707611,5746.489195,4713.959058,0.988451715,2.670922832,5089.358943,3629.843855,0.876915804,2.36953855,0.0,0.0,0.0,0.0,4547.559782,2837.402038,0.778675031,2.104079428,0.0,0.0,0.0,0.0,,01-01-2021 01:00
2,0.0,0.0,0.0,0.0,4928.352048,3397.548711,0.844182606,2.281089266,5734.372804,4680.885152,0.984408268,2.659996921,5088.102034,3618.125162,0.874920294,2.364146426,0.0,0.0,0.0,0.0,4543.567317,2824.16909,0.776426379,2.098003283,0.0,0.0,0.0,0.0,,01-01-2021 02:00
3,0.0,0.0,0.0,0.0,4921.081854,3396.321073,0.844017507,2.280643147,5746.176195,4714.182558,0.987729557,2.668971469,5082.324752,3619.596305,0.875046446,2.364487306,0.0,0.0,0.0,0.0,4543.669846,2832.705246,0.77746632,2.100813338,0.0,0.0,0.0,0.0,,01-01-2021 03:00
4,0.0,0.0,0.0,0.0,4933.212529,3421.723541,0.847737064,2.290693866,5737.360516,4709.233272,0.988107341,2.669992289,5077.411125,3619.73325,0.875841436,2.366635469,0.0,0.0,0.0,0.0,4536.448978,2828.494622,0.777639413,2.101281056,0.0,0.0,0.0,0.0,,01-01-2021 04:00
5,0.0,0.0,0.0,0.0,4932.903977,3422.694397,0.848138244,2.291777905,5744.03046,4722.851302,0.989835459,2.674661886,5078.807023,3623.5502,0.876564794,2.368590077,0.0,0.0,0.0,0.0,4552.429944,2852.30499,0.780913144,2.110127096,0.0,0.0,0.0,0.0,,01-01-2021 05:00
6,0.0,0.0,0.0,0.0,4925.926768,3410.333346,0.846142753,2.286385833,5757.83206,4743.840277,0.991227103,2.678422286,5073.632852,3613.857323,0.874864952,2.363996884,0.0,0.0,0.0,0.0,4525.37785,2813.036715,0.775450004,2.095364994,0.0,0.0,0.0,0.0,,01-01-2021 06:00
7,0.0,0.0,0.0,0.0,4926.479031,3412.655596,0.846214465,2.286579608,5767.391821,4761.853939,0.99276933,2.682589581,5075.56435,3618.356447,0.875187011,2.364867129,0.0,0.0,0.0,0.0,4524.155989,2812.516081,0.77520781,2.094710555,0.0,0.0,0.0,0.0,,01-01-2021 07:00
8,0.0,0.0,0.0,0.0,4925.560432,3417.369614,0.84659431,2.287605998,5759.274247,4756.367141,0.991999492,2.680509379,5071.925948,3619.126569,0.875089014,2.36460233,0.0,0.0,0.0,0.0,4516.926563,2807.824507,0.77446246,2.092696523,0.0,0.0,0.0,0.0,,01-01-2021 08:00
9,0.0,0.0,0.0,0.0,4939.113031,3430.922863,0.846180422,2.28648762,5730.437653,4697.970959,0.983908554,2.658646631,5072.347556,3612.623523,0.872339453,2.357172663,0.0,0.0,0.0,0.0,4537.172307,2830.892066,0.775503137,2.095508566,0.0,0.0,0.0,0.0,,01-01-2021 09:00
