Unnamed: 0,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,THERMAL_EFF,DATE_TIME
0,0.0,0.0,0.0,0.0,9086.266279,13905.17011,1.775834198,4.655888274,0.0,0.0,0.0,0.0,,01-01-2021 00:00
1,0.0,0.0,0.0,0.0,9092.889629,13948.42226,1.77760424,4.660528975,0.0,0.0,0.0,0.0,,01-01-2021 01:00
2,0.0,0.0,0.0,0.0,9083.496415,13915.43013,1.775122647,4.654022725,0.0,0.0,0.0,0.0,,01-01-2021 02:00
3,0.0,0.0,0.0,0.0,9091.14944,13924.41325,1.776513779,4.65767,0.0,0.0,0.0,0.0,,01-01-2021 03:00
4,0.0,0.0,0.0,0.0,9098.178455,13951.96104,1.776657691,4.65804731,0.0,0.0,0.0,0.0,,01-01-2021 04:00
5,0.0,0.0,0.0,0.0,9109.292816,13988.22503,1.77994537,4.666666957,0.0,0.0,0.0,0.0,,01-01-2021 05:00
6,0.0,0.0,0.0,0.0,9112.466237,13991.39597,1.780973222,4.669361784,0.0,0.0,0.0,0.0,,01-01-2021 06:00
7,0.0,0.0,0.0,0.0,9092.206554,13965.49806,1.779030654,4.664268752,0.0,0.0,0.0,0.0,,01-01-2021 07:00
8,0.0,0.0,0.0,0.0,9095.348054,13955.76244,1.779034749,4.664279488,0.0,0.0,0.0,0.0,,01-01-2021 08:00
9,0.0,0.0,0.0,0.0,9099.623448,14013.88617,1.783500309,4.675987308,0.0,0.0,0.0,0.0,,01-01-2021 09:00
10,0.0,0.0,0.0,0.0,9106.715115,13999.34895,1.779985209,4.666771409,0.0,0.0,0.0,0.0,,01-01-2021 10:00
11,0.0,0.0,0.0,0.0,9101.972774,14012.57462,1.782987323,4.67464236,0.0,0.0,0.0,0.0,,01-01-2021 11:00
12,0.0,0.0,0.0,0.0,9085.044045,13949.05953,1.778213076,4.662125225,0.0,0.0,0.0,0.0,,01-01-2021 12:00
13,0.0,0.0,0.0,0.0,9082.179493,13952.77659,1.780863921,4.669075218,0.0,0.0,0.0,0.0,,01-01-2021 13:00
14,0.0,0.0,0.0,0.0,9073.665651,13940.77343,1.778129347,4.661905702,0.0,0.0,0.0,0.0,,01-01-2021 14:00
15,0.0,0.0,0.0,0.0,9083.600897,13940.39335,1.7774942,4.660240473,0.0,0.0,0.0,0.0,,01-01-2021 15:00
16,0.0,0.0,0.0,0.0,9085.64888,13962.77201,1.778714624,4.663440184,0.0,0.0,0.0,0.0,,01-01-2021 16:00
17,0.0,0.0,0.0,0.0,9086.169794,13962.89621,1.778945081,4.664044397,0.0,0.0,0.0,0.0,,01-01-2021 17:00
18,0.0,0.0,0.0,0.0,9085.446604,13908.87901,1.775051257,4.653835556,0.0,0.0,0.0,0.0,,01-01-2021 18:00
19,0.0,0.0,0.0,0.0,9079.366749,13921.87206,1.775234201,4.6543152,0.0,0.0,0.0,0.0,,01-01-2021 19:00
20,7419.912446,9883.752046,1.525836118,4.000442439,9075.733375,13944.65688,1.779479435,4.665445367,0.0,0.0,0.0,0.0,,01-01-2021 20:00
21,7422.382998,9889.218395,1.525048482,3.998377412,9228.682121,14347.00233,1.803169345,4.727555655,0.0,0.0,0.0,0.0,,01-01-2021 21:00
22,7420.012681,9878.687379,1.524401338,3.996680727,9210.926416,14293.65789,1.800008538,4.719268641,0.0,0.0,0.0,0.0,,01-01-2021 22:00
23,7414.182294,9842.421175,1.522180873,3.990859103,9204.749408,14250.87083,1.798117107,4.714309681,0.0,0.0,0.0,0.0,,01-01-2021 23:00
24,7415.067931,9867.345041,1.524805497,3.997740352,9209.08346,14293.10967,1.80165587,4.723587623,0.0,0.0,0.0,0.0,,02-01-2021 00:00
25,7412.859724,9846.714628,1.521739697,3.989702427,9208.838177,14269.63361,1.798421831,4.715108607,0.0,0.0,0.0,0.0,,02-01-2021 01:00
26,7414.47261,9838.731313,1.520250865,3.985799002,9214.690248,14268.21686,1.797254748,4.712048744,0.0,0.0,0.0,0.0,,02-01-2021 02:00
27,7413.220688,9831.459098,1.519293199,3.983288189,9211.197311,14252.24594,1.795803915,4.708244946,0.0,0.0,0.0,0.0,,02-01-2021 03:00
28,7411.211462,9833.777485,1.521429156,3.988888248,9232.177321,14321.38339,1.802331546,4.725359111,0.0,0.0,0.0,0.0,,02-01-2021 04:00
29,7409.455574,9810.892525,1.518749635,3.981863073,9233.616679,14298.72099,1.799671054,4.718383825,0.0,0.0,0.0,0.0,,02-01-2021 05:00
30,7415.040806,9816.31909,1.519413715,3.983604159,9235.998608,14294.48504,1.799619462,4.71824856,0.0,0.0,0.0,0.0,,02-01-2021 06:00
31,7412.681329,9822.000284,1.521167075,3.988201126,9242.995169,14330.10237,1.803291316,4.72787544,0.0,0.0,0.0,0.0,,02-01-2021 07:00
32,7409.248529,9835.629194,1.522926661,3.992814413,9252.321741,14385.17048,1.807635859,4.739265979,0.0,0.0,0.0,0.0,,02-01-2021 08:00
33,7410.975021,9830.641601,1.521240621,3.988393948,9251.169097,14367.64176,1.805048123,4.732481442,0.0,0.0,0.0,0.0,,02-01-2021 09:00
34,7412.857704,9856.422709,1.52500949,3.99827518,9265.482267,14436.71994,1.811392507,4.74911517,0.0,0.0,0.0,0.0,,02-01-2021 10:00
35,7414.775737,9829.848185,1.521422256,3.98887016,9270.898898,14407.11385,1.807662565,4.739335997,0.0,0.0,0.0,0.0,,02-01-2021 11:00
