Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,CMP_SPEED_6,POWER_6,FUEL_FLOW_6,CO2_6,CMP_SPEED_7,POWER_7,FUEL_FLOW_7,CO2_7,CMP_SPEED_8,POWER_8,FUEL_FLOW_8,CO2_8,THERMAL_EFF,DATE_TIME
0,0.0,0.0,0.0,0.0,8431.542008,11275.95065,1.659015202,4.522613125,0.0,0.0,0.0,0.0,8808.476351,12065.37581,1.698077716,4.629100781,9411.452766,13762.55337,1.829300494,4.986824964,5261.22425,4435.353673,1.046169521,2.851944937,0.0,0.0,0.0,0.0,7721.724461,9569.627953,1.513019323,4.124616243,29.37968472094265,01-01-2021 00:00
1,0.0,0.0,0.0,0.0,8438.857896,11294.6414,1.661156518,4.52845053,0.0,0.0,0.0,0.0,8804.812266,12057.1678,1.698215918,4.629477531,9400.247007,13734.65217,1.828272524,4.984022631,5271.45443,4453.365954,1.048633385,2.858661635,0.0,0.0,0.0,0.0,7717.69336,9560.604441,1.51300421,4.124575044,29.35227485429699,01-01-2021 01:00
2,0.0,0.0,0.0,0.0,8424.188151,11240.03786,1.653145851,4.506612789,0.0,0.0,0.0,0.0,8805.998165,12038.02337,1.692724988,4.614508799,9434.000522,13796.87598,1.82788327,4.982961494,5278.660242,4461.302887,1.046791842,2.853641437,0.0,0.0,0.0,0.0,7704.055602,9512.97404,1.505635548,4.104487461,29.348979409185283,01-01-2021 02:00
3,0.0,0.0,0.0,0.0,8428.640607,11289.7231,1.659846973,4.524880602,0.0,0.0,0.0,0.0,8796.657218,12056.19358,1.697095037,4.626421916,9427.275772,13826.7167,1.833179394,4.997399166,5288.30565,4493.709265,1.052336788,2.868757421,0.0,0.0,0.0,0.0,7711.278376,9562.082959,1.512204165,4.122394054,29.372345575477375,01-01-2021 03:00
4,0.0,0.0,0.0,0.0,8430.835182,11267.74607,1.65729087,4.517912452,0.0,0.0,0.0,0.0,8794.387391,12022.19934,1.693753935,4.617313795,9439.89253,13825.61823,1.832000893,4.994186475,5301.389691,4505.751887,1.052958683,2.870452757,0.0,0.0,0.0,0.0,7727.076662,9575.592369,1.512329979,4.122737033,29.411396128819607,01-01-2021 04:00
5,0.0,0.0,0.0,0.0,8446.052523,11317.11597,1.659682416,4.524432007,0.0,0.0,0.0,0.0,8793.894911,12032.87277,1.693254478,4.615952234,9461.906449,13896.20698,1.835233937,5.003000022,5297.440286,4505.763311,1.052215958,2.868428026,0.0,0.0,0.0,0.0,7716.138935,9560.437326,1.510022673,4.116447127,29.409716789788664,01-01-2021 05:00
6,0.0,0.0,0.0,0.0,8470.824076,11407.76816,1.666943904,4.544227424,0.0,0.0,0.0,0.0,8793.642378,12063.65169,1.696151766,4.623850482,9455.001189,13915.27053,1.837248519,5.00849194,5300.524609,4524.749317,1.054756813,2.875354608,0.0,0.0,0.0,0.0,7724.645139,9605.770087,1.514223591,4.127899177,29.467190546959543,01-01-2021 06:00
7,0.0,0.0,0.0,0.0,8476.529947,11426.46587,1.668952808,4.549703864,0.0,0.0,0.0,0.0,8798.604759,12081.41807,1.698049296,4.629023304,9437.635572,13876.69282,1.835470781,5.003645679,5288.069436,4503.656687,1.05288603,2.870254699,0.0,0.0,0.0,0.0,7715.827603,9589.557009,1.513595136,4.126185957,29.429668741191517,01-01-2021 07:00
8,0.0,0.0,0.0,0.0,8475.99498,11386.79745,1.662798529,4.532926789,0.0,0.0,0.0,0.0,8797.159064,12037.26372,1.69163122,4.611527098,9427.758617,13805.60713,1.827251497,4.981239227,5289.655356,4491.847668,1.049413814,2.86078915,0.0,0.0,0.0,0.0,7700.598936,9522.287299,1.505404493,4.103857583,29.382221236125517,01-01-2021 08:00
9,0.0,0.0,0.0,0.0,8481.426562,11427.46898,1.666631326,4.543375311,0.0,0.0,0.0,0.0,8795.816462,12062.58403,1.694338404,4.618907106,9419.146569,13817.21149,1.829101877,4.986283518,5288.287099,4501.431944,1.051097981,2.86538033,0.0,0.0,0.0,0.0,7720.289372,9591.080345,1.511585488,4.12070749,29.47347661556114,01-01-2021 09:00
