Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,CMP_SPEED_6,POWER_6,FUEL_FLOW_6,CO2_6,THERMAL_EFF,DATE_TIME
0,4758.466217,3718.441369,0.987648084,2.346500671,0.0,0.0,0.0,0.0,7051.557243,8376.205005,1.452516788,3.450957557,4670.90304,3533.234903,0.964236339,2.29087795,4512.305426,3294.652689,0.934798458,2.220938051,4522.279085,3316.067757,0.943703751,2.242095664,16.355398465575874,01-01-2021 00:00
1,4761.778449,3718.012159,0.98666392,2.344162448,0.0,0.0,0.0,0.0,7050.737843,8360.514738,1.449927727,3.444806344,4660.583388,3509.898832,0.960425143,2.281823131,4514.945198,3293.623545,0.93379645,2.218557432,4497.249156,3269.234899,0.936772554,2.225628199,16.243715817442396,01-01-2021 01:00
2,4766.026102,3729.037526,0.987223024,2.345490795,0.0,0.0,0.0,0.0,7047.319951,8357.532337,1.448570711,3.441582283,4656.486278,3506.642149,0.959252513,2.279037142,4533.522223,3327.995854,0.937452935,2.22724468,4497.249156,3272.618803,0.936464905,2.224897274,16.265871220989442,01-01-2021 02:00
3,4764.875,3735.18112,0.989217202,2.350228657,0.0,0.0,0.0,0.0,7045.760124,8372.468031,1.451564342,3.44869469,4663.224726,3525.700523,0.962882462,2.287661345,4528.88825,3327.675039,0.938630006,2.230041221,4497.249156,3279.890982,0.938623629,2.230026071,16.26452335399355,01-01-2021 03:00
4,4758.684791,3724.973492,0.987618469,2.346430311,0.0,0.0,0.0,0.0,7042.482258,8365.122123,1.450513302,3.44619758,4662.288525,3524.593104,0.96241838,2.286558757,4543.389988,3352.226737,0.941434623,2.236704562,4497.249156,3280.504165,0.938367517,2.229417587,16.27200400762767,01-01-2021 04:00
5,4758.315288,3723.038933,0.987518422,2.346192614,0.0,0.0,0.0,0.0,7040.275003,8358.022781,1.450183829,3.445414802,4650.827601,3503.904977,0.9600382,2.280903815,4526.729126,3323.339321,0.937871029,2.228238008,4497.249156,3279.141183,0.938344736,2.229363464,16.265638209943877,01-01-2021 05:00
6,4755.204929,3720.580984,0.98653719,2.343861357,0.0,0.0,0.0,0.0,7033.990734,8347.12679,1.448272932,3.440874805,4640.733059,3489.674158,0.957571669,2.275043715,4522.563692,3319.311365,0.936703047,2.225463062,4497.249156,3281.975405,0.938041934,2.228644052,16.28495202201044,01-01-2021 06:00
7,4751.811146,3718.91234,0.985610407,2.341659462,0.0,0.0,0.0,0.0,7035.176346,8355.747673,1.447890393,3.439965951,4639.961236,3492.687493,0.95722128,2.274211243,4522.081966,3322.6005,0.936376867,2.224688107,4497.249156,3286.116952,0.937822554,2.228122839,16.309316375434076,01-01-2021 07:00
8,4744.161037,3707.355867,0.985190738,2.340662395,0.0,0.0,0.0,0.0,7029.525692,8348.999169,1.448697742,3.441884088,4626.240622,3471.17181,0.955532808,2.270199691,4543.811111,3360.35182,0.942168992,2.238449312,4497.249156,3287.674375,0.938973588,2.230857519,16.297043883305037,01-01-2021 08:00
9,4747.020123,3717.369646,0.985498082,2.341392596,0.0,0.0,0.0,0.0,7032.247116,8362.176316,1.448456028,3.441309812,4629.790807,3482.054245,0.955940706,2.271168794,4536.893692,3353.497997,0.940350298,2.234128371,4497.249156,3292.145296,0.938653213,2.230096359,16.324776261011557,01-01-2021 09:00
10,4744.561671,3713.943316,0.984161158,2.338216269,0.0,0.0,0.0,0.0,7030.224921,8356.918251,1.446779464,3.437326553,4629.366473,3482.271993,0.955049758,2.269052038,4538.854089,3357.800952,0.940020467,2.233344744,4497.249156,3293.029675,0.937914588,2.228341498,16.342021150610503,01-01-2021 10:00
11,4742.987266,3713.129573,0.984873731,2.339909235,0.0,0.0,0.0,0.0,7030.668004,8364.092908,1.448549858,3.441532739,4632.12961,3488.766177,0.956674763,2.272912803,4543.216474,3366.936694,0.941994211,2.238034058,4497.249156,3294.969772,0.938971476,2.230852503,16.333243997233534,01-01-2021 11:00
12,4742.622378,3707.275691,0.983571368,2.336815018,0.0,0.0,0.0,0.0,7026.650498,8343.638605,1.446010121,3.435498712,4622.873277,3468.137746,0.953552137,2.265493922,4545.706195,3366.300956,0.941371309,2.236554137,4497.249156,3290.229398,0.93779984,2.228068875,16.330122357304205,01-01-2021 12:00
