Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,THERMAL_EFF,DATE_TIME
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 00:00
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 01:00
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 02:00
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 03:00
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 04:00
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 05:00
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 06:00
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 07:00
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 08:00
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 09:00
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 10:00
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 11:00
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 12:00
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 13:00
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 14:00
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 15:00
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 16:00
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 17:00
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 18:00
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 19:00
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 20:00
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 21:00
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 22:00
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01-01-2021 23:00
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 00:00
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 01:00
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 02:00
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 03:00
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 04:00
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 05:00
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 06:00
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 07:00
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 08:00
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 09:00
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 10:00
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 11:00
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 12:00
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 13:00
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 14:00
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 15:00
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 16:00
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 17:00
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 18:00
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 19:00
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 20:00
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 21:00
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 22:00
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,02-01-2021 23:00
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,03-01-2021 00:00
49,10000.0,14951.93434,1.893968987,4.744177081,0.0,0.0,0.0,0.0,,03-01-2021 01:00
50,10000.0,14971.13387,1.898775306,4.756216364,0.0,0.0,0.0,0.0,,03-01-2021 02:00
51,9994.911432,14910.12343,1.892623787,4.740807507,0.0,0.0,0.0,0.0,,03-01-2021 03:00
52,9991.852978,14907.21015,1.893314927,4.742538736,0.0,0.0,0.0,0.0,,03-01-2021 04:00
53,9972.762754,14845.33472,1.889077681,4.731924916,0.0,0.0,0.0,0.0,,03-01-2021 05:00
54,9976.059272,14847.76269,1.890513657,4.735521874,0.0,0.0,0.0,0.0,,03-01-2021 06:00
55,9975.175271,14864.38705,1.892549017,4.740620218,0.0,0.0,0.0,0.0,,03-01-2021 07:00
56,9959.642532,14837.75672,1.892313831,4.740031103,0.0,0.0,0.0,0.0,,03-01-2021 08:00
57,9951.605364,14770.73518,1.888573167,4.730661166,0.0,0.0,0.0,0.0,,03-01-2021 09:00
58,9971.664696,14842.87764,1.89375231,4.74363433,0.0,0.0,0.0,0.0,,03-01-2021 10:00
59,9969.664876,14791.81689,1.889826098,4.733799615,0.0,0.0,0.0,0.0,,03-01-2021 11:00
60,9963.236097,14780.5416,1.888747718,4.731098397,0.0,0.0,0.0,0.0,,03-01-2021 12:00
